age,gender,weight,height,max_bpm,avg_bpm,resting_bpm,session_duration,calories_burned,workout_type,water_intake,workout_frequency,experience_level,bmi,age_category,weight_category,bmi_category
45,Female,50.9,1.65,170,136,50,1.45,887.0,Strength,2.3,2,1,18.7,40-49,40-59,healthy
47,Female,41.6,1.58,160,163,68,1.03,756.0,Yoga,2.1,4,2,16.66,40-49,40-59,under weight
36,Male,121.9,1.93,195,132,54,1.49,1082.0,Cardio,3.4,3,2,32.73,30-39,100-130,obesity
32,Male,126.4,1.83,198,146,62,1.1,883.0,HIIT,2.1,3,2,37.74,30-39,100-130,obesity
58,Male,103.5,1.66,172,168,61,1.33,1106.0,Cardio,3.1,3,1,37.56,50-100,100-130,obesity
20,Male,120.5,1.73,186,153,67,1.01,850.0,Cardio,3.4,3,2,40.26,0-29,100-130,sever obesity
23,Male,83.8,1.99,179,130,71,1.79,1280.0,Cardio,3.5,4,3,21.16,0-29,80-99,healthy
22,Male,110.5,1.92,172,144,55,1.16,919.0,HIIT,3.3,3,2,29.98,0-29,100-130,obesity
29,Male,84.9,1.72,187,140,51,1.79,1378.0,Yoga,3.5,4,3,28.7,0-29,80-99,overweight
47,Male,98.2,1.9,199,148,64,0.76,557.0,HIIT,3.0,3,1,27.2,40-49,80-99,overweight
29,Male,86.1,1.65,183,128,71,1.66,1169.0,HIIT,3.5,4,3,31.63,0-29,80-99,obesity
44,Female,42.8,1.78,167,159,64,1.49,1066.0,Strength,2.6,3,2,13.51,40-49,40-59,under weight
23,Male,116.8,1.79,178,127,69,1.0,698.0,Strength,3.4,4,2,36.45,0-29,100-130,obesity
42,Female,63.7,1.71,173,169,62,1.42,1080.0,Yoga,1.8,3,2,21.78,40-49,60-79,healthy
41,Male,72.1,1.83,175,133,58,1.13,744.0,Yoga,2.8,3,2,21.53,40-49,60-79,healthy
41,Male,120.8,1.67,188,146,54,0.82,593.0,HIIT,3.0,2,1,43.31,40-49,100-130,sever obesity
26,Male,73.7,1.66,177,125,72,0.93,639.0,Yoga,2.2,2,1,26.75,0-29,60-79,overweight
47,Female,43.4,1.62,179,132,64,0.51,303.0,Cardio,2.3,3,1,16.54,40-49,40-59,under weight
49,Male,105.7,1.64,198,155,59,1.2,921.0,Cardio,3.1,3,2,39.3,40-49,100-130,obesity
29,Male,95.2,1.86,174,141,52,0.64,496.0,Yoga,2.5,2,1,27.52,0-29,80-99,overweight
45,Female,73.5,1.74,181,152,50,1.18,807.0,Cardio,2.3,4,2,24.28,40-49,60-79,healthy
29,Male,106.5,1.81,177,156,60,1.29,1107.0,Cardio,2.5,4,2,32.51,0-29,100-130,obesity
19,Male,98.6,1.7,197,162,74,0.83,740.0,Cardio,2.4,2,1,34.12,0-29,80-99,obesity
26,Female,70.9,1.66,184,125,68,0.81,506.0,HIIT,1.7,3,1,25.73,0-29,60-79,overweight
18,Male,92.4,1.74,195,168,50,1.41,1303.0,Yoga,3.1,2,1,30.52,0-29,80-99,obesity
56,Female,45.1,1.73,165,129,73,0.83,482.0,Strength,2.6,3,1,15.07,50-100,40-59,under weight
18,Male,63.2,1.63,162,120,73,0.66,436.0,Cardio,2.2,3,1,23.79,0-29,60-79,healthy
36,Male,99.9,1.99,189,147,73,1.33,1075.0,Yoga,2.5,3,1,25.23,30-39,80-99,overweight
38,Male,61.3,1.97,177,146,51,1.37,1100.0,Cardio,2.8,3,1,15.8,30-39,60-79,under weight
41,Male,81.6,1.87,167,128,59,1.87,1185.0,HIIT,3.5,5,3,23.33,40-49,80-99,healthy
49,Female,68.3,1.52,177,150,60,1.45,979.0,Strength,1.8,4,2,29.56,40-49,60-79,overweight
18,Male,83.2,1.96,183,150,67,1.83,1510.0,HIIT,3.5,4,3,21.66,0-29,80-99,healthy
42,Female,59.5,1.74,195,141,52,1.78,1129.0,Yoga,2.7,5,3,19.65,40-49,40-59,healthy
37,Female,53.0,1.71,184,156,50,1.13,881.0,Yoga,1.7,4,2,18.13,30-39,40-59,under weight
33,Male,106.5,1.6,183,152,74,1.4,1170.0,Strength,3.3,4,2,41.6,30-39,100-130,sever obesity
52,Female,70.6,1.69,165,135,65,1.36,826.0,HIIT,2.2,3,1,24.72,50-100,60-79,healthy
33,Female,78.5,1.66,161,156,69,1.29,1006.0,HIIT,1.9,4,2,28.49,30-39,60-79,overweight
21,Male,86.6,1.86,163,129,58,1.37,972.0,HIIT,2.6,3,2,25.03,0-29,80-99,overweight
33,Female,78.0,1.71,187,136,58,1.08,734.0,Cardio,2.1,3,1,26.67,30-39,60-79,overweight
21,Female,72.6,1.68,162,127,70,1.19,756.0,Cardio,1.8,3,2,25.72,0-29,60-79,overweight
55,Male,63.5,1.86,198,144,53,1.36,969.0,Strength,2.9,4,2,18.35,50-100,60-79,under weight
27,Male,104.3,1.68,162,135,62,1.28,950.0,Cardio,3.5,3,2,36.95,0-29,100-130,obesity
35,Female,65.8,1.62,189,158,69,1.0,790.0,Cardio,1.5,4,2,25.07,30-39,60-79,overweight
36,Female,60.0,1.72,161,128,51,1.63,1043.0,Strength,2.7,5,3,20.28,30-39,60-79,healthy
25,Female,57.7,1.58,188,145,52,1.36,986.0,Yoga,2.2,3,2,23.11,0-29,40-59,healthy
22,Female,61.8,1.52,169,166,61,1.83,1519.0,Yoga,2.7,5,3,26.75,0-29,60-79,overweight
20,Male,85.7,1.92,172,136,58,1.72,1287.0,Cardio,3.5,5,3,23.25,0-29,80-99,healthy
47,Male,88.4,1.6,186,126,60,1.86,1160.0,HIIT,3.5,5,3,34.53,40-49,80-99,obesity
37,Female,66.9,1.75,184,127,50,1.38,876.0,Strength,2.1,4,2,21.84,30-39,60-79,healthy
38,Male,123.3,1.62,161,165,65,1.34,1216.0,Yoga,2.3,4,2,46.98,30-39,100-130,sever obesity
38,Female,59.1,1.72,196,148,68,1.07,792.0,Cardio,1.7,3,2,19.98,30-39,40-59,healthy
59,Male,89.4,1.62,198,125,59,1.43,885.0,Strength,3.6,3,2,34.06,50-100,80-99,obesity
40,Female,69.7,1.51,189,141,64,1.27,895.0,Cardio,1.9,3,2,30.57,40-49,60-79,obesity
42,Male,62.9,1.98,173,126,61,1.42,886.0,Yoga,3.4,4,2,16.04,40-49,60-79,under weight
33,Female,59.0,1.67,175,124,55,0.9,558.0,Cardio,1.9,3,1,21.16,30-39,40-59,healthy
57,Female,64.4,1.56,177,144,73,1.52,985.0,Cardio,2.7,5,3,26.46,50-100,60-79,overweight
41,Male,66.1,1.69,187,143,68,0.77,545.0,Yoga,3.4,2,1,23.14,40-49,60-79,healthy
23,Female,65.2,1.62,192,156,59,1.37,1069.0,Cardio,2.5,3,2,24.84,0-29,60-79,healthy
49,Male,57.8,1.99,183,161,67,0.93,741.0,HIIT,3.1,3,1,14.6,40-49,40-59,under weight
38,Female,56.3,1.6,180,142,53,1.21,859.0,Yoga,1.9,4,2,21.99,30-39,40-59,healthy
27,Female,69.5,1.76,171,121,66,0.94,569.0,Strength,2.0,3,1,22.44,0-29,60-79,healthy
38,Female,45.2,1.68,193,144,58,1.01,727.0,HIIT,2.4,3,2,16.01,30-39,40-59,under weight
26,Male,51.9,2.0,173,133,54,0.75,549.0,HIIT,2.3,2,1,12.97,0-29,40-59,under weight
34,Male,92.0,1.76,175,143,73,0.73,574.0,Yoga,3.5,3,1,29.7,30-39,80-99,overweight
53,Female,68.1,1.55,164,131,65,1.41,831.0,HIIT,2.2,4,2,28.35,50-100,60-79,overweight
45,Female,41.2,1.58,195,168,71,1.47,1111.0,HIIT,2.6,2,1,16.5,40-49,40-59,under weight
39,Male,102.3,1.94,192,134,50,0.89,656.0,Yoga,2.4,3,1,27.18,30-39,100-130,overweight
48,Female,69.1,1.6,191,166,53,1.34,1001.0,Strength,2.0,4,2,26.99,40-49,60-79,overweight
43,Male,95.9,1.85,186,157,64,1.28,995.0,Yoga,3.4,2,1,28.02,40-49,80-99,overweight
57,Female,68.5,1.56,168,138,68,1.45,900.0,HIIT,1.6,4,2,28.15,50-100,60-79,overweight
54,Male,125.9,1.94,199,132,73,1.35,882.0,Strength,2.9,3,2,33.45,50-100,100-130,obesity
28,Male,84.8,1.79,182,138,55,1.35,1025.0,Cardio,2.3,4,2,26.47,0-29,80-99,overweight
46,Female,58.0,1.53,196,140,62,1.83,1153.0,Cardio,2.7,4,3,24.78,40-49,40-59,healthy
32,Female,61.7,1.58,183,135,54,1.87,1262.0,HIIT,2.7,5,3,24.72,30-39,60-79,healthy
23,Male,83.1,1.8,185,162,56,0.7,624.0,Strength,3.1,3,1,25.65,0-29,80-99,overweight
36,Male,123.7,1.69,185,138,73,1.3,987.0,Cardio,2.1,4,2,43.31,30-39,100-130,sever obesity
45,Male,81.4,1.61,164,141,55,1.14,796.0,Cardio,2.2,4,2,31.4,40-49,80-99,obesity
51,Female,66.2,1.58,164,129,65,0.86,499.0,HIIT,2.3,3,1,26.52,50-100,60-79,overweight
32,Female,56.6,1.57,170,167,72,1.65,1378.0,HIIT,2.7,4,3,22.96,30-39,40-59,healthy
19,Female,65.7,1.58,170,121,57,1.46,883.0,Cardio,1.9,3,2,26.32,0-29,60-79,overweight
28,Male,58.3,2.0,198,135,65,1.32,980.0,Strength,3.0,4,2,14.57,0-29,40-59,under weight
21,Male,125.2,1.66,196,159,60,1.38,1207.0,HIIT,3.4,3,2,45.43,0-29,100-130,sever obesity
56,Male,84.6,1.63,184,141,52,1.01,705.0,HIIT,2.9,4,2,31.84,50-100,80-99,obesity
45,Female,73.0,1.75,184,148,50,1.14,759.0,Yoga,2.0,4,2,23.84,40-49,60-79,healthy
43,Female,42.7,1.66,173,134,53,0.73,440.0,Yoga,1.9,2,1,15.5,40-49,40-59,under weight
56,Male,88.3,1.71,180,157,60,1.69,1313.0,Yoga,3.5,4,3,30.2,50-100,80-99,obesity
18,Male,125.9,1.67,172,153,60,1.46,1229.0,Yoga,2.2,3,2,45.14,0-29,100-130,sever obesity
53,Female,53.3,1.74,173,156,54,1.37,962.0,Strength,1.8,3,2,17.6,50-100,40-59,under weight
50,Female,55.4,1.55,175,122,65,1.85,1016.0,Strength,2.7,4,3,23.06,50-100,40-59,healthy
58,Female,74.8,1.69,175,162,53,1.28,933.0,Strength,2.3,4,2,26.19,50-100,60-79,overweight
48,Female,56.8,1.51,185,126,52,1.37,777.0,HIIT,2.1,4,2,24.91,40-49,40-59,overweight
38,Female,49.7,1.51,179,145,65,1.25,906.0,HIIT,2.5,3,1,21.8,30-39,40-59,healthy
32,Male,87.9,1.88,173,143,64,1.52,1195.0,Cardio,3.5,5,3,24.87,30-39,80-99,healthy
32,Male,78.6,1.62,195,125,69,1.28,880.0,Yoga,3.1,3,1,29.95,30-39,60-79,obesity
23,Male,107.0,1.94,198,120,73,1.35,891.0,HIIT,2.9,2,1,28.43,0-29,100-130,overweight
44,Male,94.6,1.84,170,120,67,1.26,748.0,HIIT,3.1,4,2,27.94,40-49,80-99,overweight
43,Female,64.7,1.66,191,132,69,1.88,1117.0,Yoga,2.7,4,3,23.48,40-49,60-79,healthy
25,Male,81.5,1.61,170,159,63,1.93,1688.0,HIIT,3.5,4,3,31.44,0-29,80-99,obesity
52,Male,84.8,1.85,189,152,50,1.19,895.0,Cardio,3.2,2,1,24.78,50-100,80-99,healthy
54,Male,83.6,1.86,168,142,56,1.54,1082.0,HIIT,3.5,5,3,24.16,50-100,80-99,healthy
53,Female,56.3,1.79,193,141,59,1.52,964.0,Strength,2.7,5,3,17.57,50-100,40-59,under weight
55,Female,49.3,1.76,194,161,73,1.28,927.0,Strength,2.0,2,1,15.92,50-100,40-59,under weight
40,Male,106.5,1.65,162,162,74,1.32,1176.0,HIIT,3.6,4,2,39.12,40-49,100-130,obesity
55,Male,128.4,1.68,178,165,52,1.13,923.0,Cardio,2.6,4,2,45.49,50-100,100-130,sever obesity
56,Male,55.6,1.92,181,136,62,0.68,458.0,Strength,3.2,3,1,15.08,50-100,40-59,under weight
50,Male,87.4,1.6,182,122,67,0.77,465.0,Strength,3.1,2,1,34.14,50-100,80-99,obesity
40,Male,93.6,1.93,188,157,60,1.38,1192.0,Cardio,2.0,3,1,25.13,40-49,80-99,overweight
48,Male,69.0,1.74,160,167,58,1.48,1223.0,HIIT,2.3,3,2,22.79,40-49,60-79,healthy
39,Male,62.0,1.64,195,127,54,0.97,678.0,Cardio,3.2,3,1,23.05,30-39,60-79,healthy
18,Female,66.9,1.75,170,122,61,0.94,573.0,Yoga,1.7,2,1,21.84,0-29,60-79,healthy
54,Male,86.1,1.95,195,140,64,1.17,811.0,Yoga,3.4,2,1,22.64,50-100,80-99,healthy
52,Male,104.8,1.99,187,130,67,0.93,598.0,Cardio,2.0,2,1,26.46,50-100,100-130,overweight
23,Male,80.9,1.8,178,126,59,1.55,1074.0,Cardio,3.5,4,3,24.97,0-29,80-99,overweight
45,Male,84.9,1.86,186,136,66,1.64,1104.0,HIIT,3.5,5,3,24.54,40-49,80-99,healthy
20,Female,64.3,1.78,188,137,61,1.71,1171.0,Cardio,2.7,4,3,20.29,0-29,60-79,healthy
43,Male,108.6,1.73,174,150,66,1.33,988.0,Cardio,2.2,2,1,36.29,40-49,100-130,obesity
48,Male,80.6,1.77,198,167,66,1.51,1248.0,Cardio,3.5,4,3,25.73,40-49,80-99,overweight
55,Male,87.5,1.88,191,134,73,1.19,789.0,Yoga,2.6,4,2,24.76,50-100,80-99,healthy
50,Male,51.1,1.98,171,126,52,0.92,574.0,Yoga,2.4,2,1,13.03,50-100,40-59,under weight
29,Male,88.1,1.93,186,143,66,1.88,1479.0,Cardio,3.5,5,3,23.65,0-29,80-99,healthy
53,Male,94.1,1.95,177,138,50,0.89,608.0,HIIT,3.5,3,1,24.75,50-100,80-99,healthy
49,Female,42.0,1.52,171,130,70,1.1,644.0,HIIT,2.2,3,1,18.18,40-49,40-59,under weight
36,Male,70.3,1.72,174,169,73,1.49,1385.0,Cardio,2.3,3,2,23.76,30-39,60-79,healthy
50,Male,64.5,1.79,163,130,61,1.17,753.0,Yoga,2.4,4,2,20.13,50-100,60-79,healthy
45,Female,65.5,1.57,192,133,59,0.66,395.0,Cardio,2.3,2,1,26.57,40-49,60-79,overweight
35,Male,70.1,1.79,185,125,63,1.08,743.0,Cardio,2.3,3,2,21.88,30-39,60-79,healthy
51,Female,74.6,1.55,177,132,50,0.71,422.0,Cardio,2.1,2,1,31.05,50-100,60-79,obesity
53,Male,73.4,1.76,169,151,70,1.09,815.0,Yoga,2.8,3,2,23.7,50-100,60-79,healthy
24,Female,40.4,1.64,168,168,55,0.99,832.0,HIIT,1.9,2,1,15.02,0-29,40-59,under weight
45,Male,88.5,1.78,198,167,67,1.53,1265.0,HIIT,3.5,4,3,27.93,40-49,80-99,overweight
43,Male,81.0,1.78,188,152,65,1.58,1189.0,Yoga,3.5,5,3,25.56,40-49,80-99,overweight
48,Male,73.7,1.61,172,121,63,1.36,815.0,Cardio,3.6,4,2,28.43,40-49,60-79,overweight
37,Female,72.9,1.76,192,121,52,1.21,732.0,Strength,1.9,3,2,23.53,30-39,60-79,healthy
29,Male,121.1,1.87,188,130,52,1.31,937.0,HIIT,3.2,4,2,34.63,0-29,100-130,obesity
25,Female,64.4,1.71,179,167,61,1.12,935.0,HIIT,1.8,3,1,22.02,0-29,60-79,healthy
49,Male,82.8,1.95,183,159,73,1.91,1503.0,Yoga,3.5,5,3,21.78,40-49,80-99,healthy
57,Female,43.8,1.75,180,160,73,1.39,1001.0,Cardio,1.7,2,1,14.3,50-100,40-59,under weight
22,Male,71.0,1.93,162,139,53,1.42,1086.0,Yoga,2.9,4,2,19.06,0-29,60-79,healthy
45,Male,51.1,1.87,177,158,57,1.44,1126.0,Cardio,3.4,4,2,14.61,40-49,40-59,under weight
26,Female,44.3,1.6,186,136,61,1.08,734.0,Cardio,2.0,3,1,17.3,0-29,40-59,under weight
55,Male,129.9,1.73,187,155,60,0.69,529.0,Yoga,3.1,3,1,43.4,50-100,100-130,sever obesity
52,Female,79.4,1.59,166,163,59,1.39,1020.0,Strength,1.5,3,2,31.41,50-100,60-79,obesity
42,Male,63.3,1.77,183,134,59,1.32,876.0,HIIT,3.3,3,2,20.2,40-49,60-79,healthy
59,Female,65.5,1.52,161,162,61,1.4,1021.0,Yoga,2.1,3,2,28.35,50-100,60-79,overweight
52,Female,68.2,1.63,179,148,67,1.17,779.0,Strength,2.4,3,1,25.67,50-100,60-79,overweight
47,Female,61.0,1.76,162,153,54,1.54,1060.0,HIIT,2.7,5,3,19.69,40-49,60-79,healthy
27,Male,106.4,1.86,182,123,50,1.34,907.0,Cardio,3.1,2,1,30.76,0-29,100-130,obesity
39,Female,64.3,1.69,190,148,58,1.25,925.0,HIIT,1.9,4,2,22.51,30-39,60-79,healthy
50,Male,95.4,1.61,173,133,50,1.16,764.0,Strength,3.6,4,2,36.8,50-100,80-99,obesity
34,Female,46.9,1.61,196,161,69,1.02,821.0,Strength,1.7,3,2,18.09,30-39,40-59,under weight
53,Male,82.3,1.61,196,123,60,1.87,1139.0,Strength,3.5,5,3,31.75,50-100,80-99,obesity
55,Female,63.0,1.7,187,121,67,1.32,719.0,Strength,2.5,3,1,21.8,50-100,60-79,healthy
30,Male,120.3,1.96,171,136,65,0.66,494.0,Yoga,2.6,2,1,31.32,30-39,100-130,obesity
34,Male,110.5,1.86,188,139,62,1.42,1086.0,Cardio,3.6,2,1,31.94,30-39,100-130,obesity
53,Male,84.2,1.76,165,137,69,1.67,1133.0,Cardio,3.5,5,3,27.18,50-100,80-99,overweight
56,Female,55.7,1.53,190,124,66,1.91,1066.0,Cardio,2.7,5,3,23.79,50-100,40-59,healthy
23,Male,57.7,1.71,179,149,58,1.15,942.0,Strength,3.4,3,2,19.73,0-29,40-59,healthy
29,Male,88.0,1.89,199,137,54,1.75,1319.0,Cardio,3.5,5,3,24.64,0-29,80-99,healthy
42,Male,97.9,1.91,193,136,73,1.01,680.0,Strength,2.8,3,2,26.84,40-49,80-99,overweight
45,Male,78.3,1.96,166,167,62,1.29,1066.0,Cardio,2.2,3,1,20.38,40-49,60-79,healthy
40,Male,68.9,1.99,180,149,51,1.16,951.0,Cardio,2.4,4,2,17.4,40-49,60-79,under weight
35,Male,102.5,1.94,183,158,64,0.84,730.0,Cardio,2.4,2,1,27.23,30-39,100-130,overweight
29,Male,87.0,1.86,177,123,72,1.52,1028.0,Yoga,3.5,4,3,25.15,0-29,80-99,overweight
47,Female,66.8,1.75,199,146,56,1.13,742.0,Strength,2.5,3,2,21.81,40-49,60-79,healthy
25,Male,123.8,1.99,180,121,72,1.13,752.0,HIIT,2.6,3,1,31.26,0-29,100-130,obesity
57,Female,61.9,1.52,168,143,51,0.92,592.0,HIIT,2.6,3,1,26.79,50-100,60-79,overweight
55,Male,69.9,1.81,179,167,57,1.2,992.0,Strength,2.1,4,2,21.34,50-100,60-79,healthy
39,Female,63.3,1.71,178,125,56,1.88,1175.0,Strength,2.7,4,3,21.65,30-39,60-79,healthy
26,Female,76.7,1.63,199,139,72,1.08,751.0,Strength,1.7,2,1,28.87,0-29,60-79,overweight
51,Female,44.8,1.63,198,137,69,1.08,666.0,Yoga,2.1,4,2,16.86,50-100,40-59,under weight
22,Male,96.3,1.63,180,162,62,1.35,1203.0,Cardio,2.4,4,2,36.25,0-29,80-99,obesity
33,Female,45.9,1.5,189,144,62,0.92,662.0,Yoga,1.7,3,1,20.4,30-39,40-59,healthy
50,Male,89.6,1.68,182,139,74,1.79,1232.0,Cardio,3.5,5,3,31.75,50-100,80-99,obesity
45,Female,71.2,1.68,172,144,63,1.37,888.0,Strength,1.6,3,1,25.23,40-49,60-79,overweight
25,Male,76.5,1.96,180,120,59,0.67,442.0,Strength,2.3,3,1,19.91,0-29,60-79,healthy
45,Female,57.2,1.55,194,121,58,1.67,909.0,Cardio,2.7,5,3,23.81,40-49,40-59,healthy
31,Female,63.1,1.64,184,125,51,1.54,962.0,Cardio,2.7,4,3,23.46,30-39,60-79,healthy
57,Male,112.5,1.61,195,165,61,1.24,1013.0,Cardio,2.7,3,2,43.4,50-100,100-130,sever obesity
34,Female,56.2,1.77,192,138,59,1.81,1249.0,Cardio,2.7,5,3,17.94,30-39,40-59,under weight
39,Female,68.6,1.64,162,154,53,1.33,1024.0,Cardio,1.5,3,2,25.51,30-39,60-79,overweight
56,Male,58.7,1.86,187,159,65,1.09,858.0,Cardio,3.3,3,2,16.97,50-100,40-59,under weight
38,Male,46.9,1.74,198,167,64,1.03,946.0,Strength,2.6,4,2,15.49,30-39,40-59,under weight
58,Male,82.2,1.87,171,143,55,1.57,1111.0,HIIT,3.5,4,3,23.51,50-100,80-99,healthy
43,Female,53.8,1.72,173,160,71,1.03,742.0,Strength,2.3,4,2,18.19,40-49,40-59,under weight
27,Male,61.6,1.8,169,144,72,1.48,1172.0,Yoga,3.1,2,1,19.01,0-29,60-79,healthy
23,Male,121.3,1.85,196,167,53,0.72,661.0,Yoga,3.6,2,1,35.44,0-29,100-130,obesity
53,Male,115.4,1.92,193,161,50,1.36,1084.0,Yoga,2.2,4,2,31.3,50-100,100-130,obesity
52,Female,70.6,1.58,181,164,67,1.02,753.0,HIIT,2.0,3,2,28.28,50-100,60-79,overweight
50,Female,61.6,1.75,192,166,74,1.22,911.0,Strength,2.2,4,2,20.11,50-100,60-79,healthy
58,Female,63.0,1.78,176,154,73,1.58,1095.0,HIIT,2.7,4,3,19.88,50-100,60-79,healthy
21,Male,93.7,1.73,186,146,72,1.0,803.0,Cardio,3.6,2,1,31.31,0-29,80-99,obesity
40,Female,52.6,1.66,198,120,71,1.27,762.0,Strength,1.7,3,2,19.09,40-49,40-59,healthy
37,Male,76.3,1.77,180,128,57,1.36,957.0,HIIT,2.1,4,2,24.35,30-39,60-79,healthy
54,Female,46.6,1.5,175,165,58,1.38,1025.0,Strength,2.0,2,1,20.71,50-100,40-59,healthy
41,Female,77.6,1.76,162,161,71,1.27,920.0,Strength,2.2,4,2,25.05,40-49,60-79,overweight
56,Male,88.5,1.85,161,144,59,1.57,1119.0,Cardio,3.5,4,3,25.86,50-100,80-99,overweight
58,Male,74.6,1.75,193,137,58,1.09,739.0,HIIT,2.9,2,1,24.36,50-100,60-79,healthy
49,Male,83.7,1.87,183,158,53,1.29,1009.0,HIIT,2.3,4,2,23.94,40-49,80-99,healthy
59,Female,60.4,1.76,194,120,53,1.72,929.0,Cardio,2.7,5,3,19.5,50-100,60-79,healthy
38,Male,85.8,1.8,168,149,68,1.72,1410.0,Cardio,3.5,4,3,26.48,30-39,80-99,overweight
22,Male,106.8,1.82,170,130,50,1.0,715.0,Yoga,2.3,4,2,32.24,0-29,100-130,obesity
33,Male,81.8,1.99,184,137,51,1.59,1198.0,Strength,3.5,4,3,20.66,30-39,80-99,healthy
41,Male,94.1,1.62,172,139,50,1.13,777.0,Cardio,3.1,4,2,35.86,40-49,80-99,obesity
18,Male,87.6,1.93,161,139,72,1.72,1315.0,HIIT,3.5,4,3,23.52,0-29,80-99,healthy
20,Male,74.8,1.75,184,121,73,1.33,885.0,Yoga,3.3,3,2,24.42,0-29,60-79,healthy
35,Male,63.7,1.74,198,143,71,1.03,810.0,HIIT,2.7,4,2,21.04,30-39,60-79,healthy
45,Male,58.4,1.72,194,150,65,1.31,973.0,HIIT,3.1,4,2,19.74,40-49,40-59,healthy
50,Male,69.6,1.96,166,139,68,0.97,667.0,Strength,2.0,3,1,18.12,50-100,60-79,under weight
52,Male,82.4,1.72,166,137,53,1.01,685.0,Strength,2.7,4,2,27.85,50-100,80-99,overweight
45,Female,48.2,1.64,168,159,67,1.25,894.0,Strength,2.5,4,2,17.92,40-49,40-59,under weight
21,Male,80.9,1.9,194,137,55,1.8,1356.0,Yoga,3.5,4,3,22.41,0-29,80-99,healthy
20,Female,51.1,1.58,188,169,64,0.5,422.0,Yoga,1.6,2,1,20.47,0-29,40-59,healthy
52,Male,74.0,1.63,174,150,50,1.26,936.0,Cardio,3.7,3,2,27.85,50-100,60-79,overweight
